song_title,artist,confidence,source_bvid,source_video_title,source_video_url,uploader
NOX LUX,MYTH & ROID 字幕翻译@Wakeの白剑 自购音源 视频素材再经我后期剪辑 音源只供试听,0.96,BV1hb2TYFEyU,【中日字幕/ED完整版】Re:ゼロから始める異世界生活 第三季 ED「NOX LUX」/ MYTH & ROID,https://www.bilibili.com/video/BV1hb2TYFEyU,百億_光年
Numb,,0.96,BV1ra411Q7Rx,【4K珍藏】Linkin Park-林肯公园《Numb》炸裂现场！直接全体起立！,https://www.bilibili.com/video/BV1ra411Q7Rx,4K音乐馆
One Last Kiss,会「Hikaru Utada Live Sessions from Air Studios」 将于1月19日（星期三）19:00进行放送！ 购票链接→https,0.96,BV1Sg411w7T9,【官方MV】宇多田光 - 《One Last Kiss》（电影《新·福音战士剧场版：终》主题曲）,https://www.bilibili.com/video/BV1Sg411w7T9,宇多田光
panama,,0.96,BV1Tx411x7k2,火爆全球的神曲《panama》官方魔性超清Live,https://www.bilibili.com/video/BV1Tx411x7k2,手写的心
Reality,,0.96,BV1DX4y1k7Yi,这首《Reality》真的上头！如此的简单好听！,https://www.bilibili.com/video/BV1DX4y1k7Yi,4K音乐馆
ReawakeR,Felix of Stray Kids)」 这首歌太爽了我的天！这个也是我这个季度剪辑得最舒服的一个视频了,0.96,BV1uBrWY8EWt,【泽野弘之×LiSA×Felix/中日歌词】我独自升级第二季OP「ReawakeR」【无损音质/一月新番】,https://www.bilibili.com/video/BV1uBrWY8EWt,Aki惊蛰
Reweave,鈴木このみ 作詞：烏屋茶房 作曲、編曲：Tom-Hack 字幕翻译@唯一的星愿 自购音源 视频素材再经我后期剪辑 音源只供试听,0.96,BV1vD2cYDE32,【中日字幕/OP完整版】Re:ゼロから始める異世界生活 第三季 OP「Reweave」鈴木このみ,https://www.bilibili.com/video/BV1vD2cYDE32,百億_光年
Rock and Stone,,0.96,BV1f1421b7kK,【深岩银河】新歌《Rock and Stone》：油管百万粉金属乐队Wind Rose联名深岩银河官方发布新歌曲《Rock and Stone》（中英字幕）,https://www.bilibili.com/video/BV1f1421b7kK,寒曦月璃
Say So,,0.96,BV1f7411P79d,好美子！Doja Cat热单《Say So》肥伦秀现场,https://www.bilibili.com/video/BV1f7411P79d,Jackson0920
secret base,,0.96,BV1LK4y1x76B,【4K60帧】祈缘憨鸟同台共唱《secret base》青春回来了【BML2020单品】,https://www.bilibili.com/video/BV1LK4y1x76B,BML制作指挥部
See You Again,维兹·卡利法与歌手查理·普斯合作演唱的一首歌曲 这首歌,0.96,BV1qU4y1F73A,【4K60FPS】查理·普斯《See You Again》爆火神曲！珍惜身边的人！,https://www.bilibili.com/video/BV1qU4y1F73A,音乐私藏馆
Senorita,,0.96,BV1Pt411V7Su,【开口跪系列】J.Fla小姐姐翻《 Senorita 》【1080P】,https://www.bilibili.com/video/BV1Pt411V7Su,忧伤的汤姆
Señorita,,0.96,BV1z4411B7ce,太甜了吧！萌德卡妹冠单《Señorita》首演现场！,https://www.bilibili.com/video/BV1z4411B7ce,Jackson0920
Shape Of You,,0.96,BV1bx41117rd,【MV】黄老板新单-《Shape Of You》中英字幕,https://www.bilibili.com/video/BV1bx41117rd,不愿透露姓名的萌新
SHINY DAYS,摇曳露营OP「SHINY DAYS」,0.96,BV1Tq1yYxENk,【中日字幕】伊地知虹夏(CV.鈴代紗弓)翻唱摇曳露营OP「SHINY DAYS」【孤独摇滚×Kirara展翻唱企划】,https://www.bilibili.com/video/BV1Tq1yYxENk,百億_光年
Sing,MusikM 英文作,0.96,BV1pW411f7gr,【初音未来英文原创】11周年诞生曲《Sing》【bilibili音乐×MikaiMusic 联合出品】,https://www.bilibili.com/video/BV1pW411f7gr,MikaiMusic未开封音乐
Something Just Like This,,0.96,BV1qe41167QB,你好，小蜘蛛侠！Jake Miller演绎经典《Something Just Like This》【2023最美的夜】,https://www.bilibili.com/video/BV1qe41167QB,JAKEMILLER
Something Just Like This,Mike_Tompkins,0.96,BV16x411j7j7,《Something Just Like This》来自64国家，千人合唱,https://www.bilibili.com/video/BV16x411j7j7,horny_leo
SOUVENIR,BUMP OF CHICKEN OP部分 分镜演出：荒木哲郎 时轴：@存在感Null,0.96,BV1tG4y1x7BL,【中日歌词/完整版】间谍过家家 后半部分OP 「SOUVENIR」,https://www.bilibili.com/video/BV1tG4y1x7BL,Aki惊蛰
Stay,的一首歌曲,0.96,BV1eG4y1N7eG,【4K珍藏】贾斯汀比伯神曲《Stay》！真的循环洗脑！,https://www.bilibili.com/video/BV1eG4y1N7eG,4K音乐馆
Stay,,0.96,BV1nh41167Wh,贾斯汀比伯联手The Kid LAROI新单《Stay》官方MV超清大首播,https://www.bilibili.com/video/BV1nh41167Wh,JustinBieber_CN
Sunny,的一首歌曲,0.96,BV1jD4y1L7uj,【回忆经典】迪斯科名曲《Sunny》！多少人的青春啊！,https://www.bilibili.com/video/BV1jD4y1L7uj,4K音乐馆
Sunshine Girl,,0.96,BV11r4y127XV,【4K顶级画质】曾经超火的日语歌《Sunshine Girl》现场，这口哨真好听！！！,https://www.bilibili.com/video/BV11r4y127XV,蚕豆音乐侠
Super Star,S.H.E 填词：施人诚 谱曲：Jade、Geoman From Sweetbox 编曲：Jade、Geoman From Sweetbox 本家链接：https,0.96,BV1ZM411T7px,【洛天依AI】《Super Star》【你是电 你是光 你是唯一的神话】,https://www.bilibili.com/video/BV1ZM411T7px,墙上不糊小泥巴
take me hand,,0.96,BV1xW411S7ag,这首《take me hand》百听不厌！开口瞬间，惊艳所有人！,https://www.bilibili.com/video/BV1xW411S7ag,最电台
The Cup Of Life,,0.96,BV1484y1177s,【4K60FPS】瑞奇·马丁《The Cup Of Life》世界名曲！永恒的生命之杯！,https://www.bilibili.com/video/BV1484y1177s,音乐私藏馆
The Final Countdown,,0.96,BV1Xo4y1i7Uh,【4K珍藏】世界摇滚名曲《The Final Countdown》！真的是太经典了！,https://www.bilibili.com/video/BV1Xo4y1i7Uh,4K音乐馆
THE FIRST TAKE,QQ音乐 群青 - YOASOBI (ヨアソビ) 主唱：ikura,0.96,BV1HV411v7Np,【中日字幕】 群青 - YOASOBI (ヨアソビ)「THE FIRST TAKE」完整版纯享版Ayase+ikura+Plusonica合唱团@姐夫日剧字幕组,https://www.bilibili.com/video/BV1HV411v7Np,姐夫日剧字幕组
The Hero !! ~怒れる拳に火をつけろ,,0.96,BV1EE411u7a2,一拳超人OP《The Hero !! ~怒れる拳に火をつけろ》,https://www.bilibili.com/video/BV1EE411u7a2,小炎Magma
The Nights,会版本 我本来做了另外几首歌的双语字幕,0.96,BV1aB4y1A7ge,【纪念】A神Avicii《The Nights》纪念万人大合唱现场！音乐不朽！,https://www.bilibili.com/video/BV1aB4y1A7ge,音乐私藏馆
The Phoenix,,0.96,BV13s411A74v,Fall Out Boy-《The Phoenix》,https://www.bilibili.com/video/BV13s411A74v,Keaidecx
The Show,,0.96,BV1Vt411T7gC,Lenka《The Show》mv-中英字幕版,https://www.bilibili.com/video/BV1Vt411T7gC,蓝夏BlueSummer
